ID,Ngày thu thập,Quốc gia,Loại robot,Dạng robot/use case,RFQ family,Custom assembly,Custom part,Geometry/feature,Coverage cell,Bought-in vs custom,Material grade,Primary process,Secondary process,Finish/coating,Heat treatment,Welding requirement,General tolerance,Critical tolerance,GD&T,Critical interface,Bearing/shaft fit,Motor/gearbox/flange interface,Thread/insert/fastening,Assembly requirement,Critical characteristic,Inspection method,Inspection equipment,FAI requirement,Material cert/traceability,Functional/leak/pressure test,Lifecycle stage,Revision intensity,Failure/rework reason,Repeat/replacement,Single/multi-process,Tooling/NRE need,Raw claim/fact,Source URL,Source type,Publication date,Confidence,Fact/inference/hypothesis,Conflict/contradiction,Unknown/gap,Notes
R0011,2026-09-20,Global standard,Cross-category,Material certification/traceability requirement for machined aluminum robot parts,precision CNC housing,unknown,Machined aluminum housing/structural part,unknown,material cert/traceability,unknown,Aluminum alloys generally (standard is alloy-agnostic),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"EN 10204 Type 3.1 certificate: batch/heat-level traceability, test data traceable to the specific heat (melt) and lot supplied, not general production statistics; must state heat/cast number, full chemical composition, mechanical properties, heat treatment condition, marking; original mill 3.1 required for the stock used on the job, not a certificate the machine shop creates after cutting",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"EN 10204 Type 3.1 is a documentation/certification standard (not a material-property standard) requiring batch-level traceability of the exact metal shipped, traceable to the specific heat/lot; for machined parts, buyers need the original mill 3.1 certificate for the raw stock used, not a certificate generated by the machine shop after cutting.",https://www.mecomeco.com/blog/en-10204-3-1-certification-a-manufacturers-guide/ ; https://ballvalve.tech/en-10204-type-3-1-material-certificate/,Standard explainer (EN 10204),"EN 10204:2004, retrieved 2026-09-20",documentation_verified,fact,none,No named robot-OEM housing traceability record found; generic standard requirement,Fills the material-cert/traceability coverage cell largely unaddressed for this family in Pass 3
R0012,2026-09-20,US,Cross-category (industrial arm/AMR/cobot),Sensor/encoder mounting bracket general practice,bracket/mount/adapter,unknown,LiDAR bracket / stereo camera housing / F-T sensor adapter / encoder mount,"Flat mounting face with positional bolt holes, aligned to a datum face",geometry/feature x tolerance,Custom,6061-T6 aluminum (most common for robot frames/brackets/mounting plates),CNC machining,unknown,unknown,unknown,None,Most brackets need +/-0.005 in; general robotics CNC features commonly held to ~+/-0.01 mm,"Encoder mounts often need +/-0.0005 in; critical features (bearing seats, datum bores, reducer interfaces) commonly +/-0.002 to +/-0.005 mm",Flatness (no datum) and parallelism/perpendicularity (relative to datum face) both used on sensor mounting faces to control tilt and alignment for calibration accuracy,Sensor-to-bracket mounting face (must stay flat/parallel to preserve sensor calibration),unknown,unknown,unknown,Flatness/parallelism verification of mounting face required to ensure sensor alignment and calibration accuracy,Mounting-face flatness/parallelism directly affects sensor calibration accuracy,"unknown (implied CMM/surface-plate check for flatness, not itemized)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"For sensor mounts (LiDAR brackets, stereo camera housings, F/T sensor adapters, encoder mounts), tight positional tolerance is required for sensor alignment/calibration; most brackets need +/-0.005 in while encoder mounts often need +/-0.0005 in; flatness and parallelism of the mounting face relative to a datum are the GD&T controls used to guarantee this.",https://piprecision-cnc.com/blogs/cnc-machining-for-robotics ; https://www.makerstage.com/resources/flatness-vs-parallelism-vs-perpendicularity,Manufacturing-platform technical guide,"2026, retrieved 2026-09-20",vendor-claimed,fact,none,No named robot-OEM sensor-bracket drawing found; generic engineering-guide numbers,Fills Pass-3's flagged 'no specific geometry' gap for this family with concrete geometry (sensor mounting face + datum) and two independent numeric tolerance bands
R0013,2026-09-20,US,Industrial arm/cobot,Motor-mount adapter plate (motor-to-gearbox-to-joint interface),bracket/mount/adapter,unknown,Motor mount adapter plate: flat plate + bolt pattern + central pilot bore,"Flat plate, central pilot bore for motor shaft, ring of motor-mounting bolt holes, ring of joint-side bolt holes",critical interface x GD&T,Custom,unknown,CNC machining,unknown,unknown,unknown,None,unknown,Pilot-bore-to-bolt-pattern concentricity,GD&T position tolerance of 0.02 mm or less on the pilot bore relative to the bolt-hole pattern,Motor shaft/pilot bore to gearbox input alignment via the adapter plate,unknown,Adapter plate connects servo motor to gearbox and joint structure; plate tolerance determines whether motor shaft aligns properly with gearbox input,"Bolt-circle mounting pattern (e.g., named commercial example: #10-32 tapped holes on a 2 in bolt circle)",Fixture alignment during machining is critical: parts can pass individual dimension checks yet still be out of position as an assembly if fixturing is not controlled,Concentricity error between pilot bore and bolt pattern causes motor/gearbox shaft misalignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Shops not controlling fixture alignment can produce plates that pass individual dimension checks but are out of position as an assembly (shaft misalignment),unknown,unknown,unknown,"A motor-mount adapter plate looks like a simple flat plate with a bolt pattern and central bore, but its tolerances determine whether the motor shaft aligns with the gearbox input; the critical dimension is pilot-bore-to-bolt-pattern concentricity, controlled with GD&T position tolerance of 0.02mm or less, and poor fixture alignment during machining can produce parts that pass individual checks but are out of position as an assembly.",https://roboticsandautomationnews.com/2026/02/09/7-cnc-machined-components-every-industrial-robot-depends-on/98806/,Trade press / independent technical article,2026-02-09,documentation_verified,fact,none,"Generic engineering practice, not tied to one named OEM adapter-plate drawing","Independent trade-press source (not a fabricator's own marketing page), good for diversifying source mix"
R0014,2026-09-20,US,"FRC/FTC competition robot (small custom robot, US education/maker robotics)",Named commercial motor-mount/actuator bracket product line,bracket/mount/adapter,unknown,"MAXSpline Bracket Motor Mount (flat, REV-21-2360) and Universal Motor Bracket (REV-21-2804)",2 in bolt-circle motor-mount pattern with splined bore for bearing/shaft integration; alternate universal bracket with 5 mm holes on 0.25 in pitch spacing,thread/fastening x bought-in vs custom,"Bought-in standard component (catalog part), used as a reference design for custom equivalents",Aluminum 5052 (stated for related REV ION bracket line),"unknown (catalog part; likely stamped/machined, not disclosed)",unknown,unknown,unknown,None,unknown,unknown,unknown,Motor/gearbox mounting bolt circle + splined bore for bearing/shaft,"MAXSpline bore described as accommodating bearings, shaft integration, or other MAXSpline-bore-compatible components",2 in bolt pattern sized to mount motors or gearboxes to structural tubing,"5 mm (0.196 in) holes on 0.25 in pitch horizontal spacing on the universal bracket, sized to avoid plate slippage",unknown,unknown,unknown,unknown,unknown,unknown,unknown,Production (catalog/commercial product),unknown,unknown,unknown,unknown,unknown,"REV Robotics documents named commercial motor-mount bracket products: the MAXSpline Bracket Motor Mount (flat, REV-21-2360) with a 2 in bolt pattern and MAXSpline bore for bearing/shaft integration, and the Universal Motor Bracket (REV-21-2804, material Aluminum 5052) with 5 mm holes on 0.25 in pitch spacing to avoid plate slippage.",https://docs.revrobotics.com/ion-build/structure/brackets/actuator-brackets,OEM product documentation (REV Robotics),"2026, retrieved 2026-09-20",documentation_verified,fact,none,"Process, tolerance, and finish not disclosed in available documentation",Named-OEM catalog documentation (not sales copy) diversifying bracket-family sourcing beyond generic fabricator marketing
R0015,2026-09-20,US,Cross-category,Sheet-metal bracket vs CNC-machined bracket process selection,bracket/mount/adapter,unknown,Mounting bracket / actuator cover panel / cable tray,Formed/bent flat bracket vs machined bracket with precision hole pattern,process x bought-in vs custom (process-selection logic),Custom,unknown,Sheet-metal bending (low-tolerance) or 5-axis CNC machining (high-tolerance),Hybrid option: sheet-metal body + CNC-machined precision insert for the critical interface,unknown,unknown,unknown,Sheet metal: +/-0.005 to +/-0.015 in (~+/-0.13 to +/-0.38 mm) on formed features; +/-0.3 mm or wider acceptable on hole pattern favors sheet metal,5-axis CNC can achieve true-position tolerances of +/-0.05 mm or tighter on hole patterns with careful fixturing,True position on hole pattern used as the deciding tolerance metric between process choices,"Bearing seats, precision mating interfaces, encoder brackets (require CNC or post-cast machining, not sheet metal)",unknown,unknown,unknown,unknown,Whether the bracket carries primary structural/positioning load (CNC) vs. is a non-load-bearing support part (sheet metal),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Can be single-process (sheet metal only) or multi-process (sheet metal body + CNC insert),Sheet-metal bending cheaper/faster at volume; CNC avoids tooling but costs more per part at volume,"Sheet metal has a tolerance capability of about +/-0.005 to +/-0.015 in on formed features and is preferred for mounting brackets, actuator cover panels, cable trays and secondary enclosures that do not carry primary loads; 5-axis CNC machining achieves true-position tolerances of +/-0.05mm or tighter on hole patterns and is required for bearing seats, precision mating interfaces and encoder brackets; a standard hybrid approach sheet-metals the bracket body and CNC-machines a precision insert for the critical interface.",https://www.fictiv.com/articles/robotic-arm-components-manufacturing,Manufacturing-platform technical guide (Fictiv),"2026, retrieved 2026-09-20",vendor-claimed,fact,none,"Generic process-selection guidance, not a named-OEM bracket","Directly addresses issue's 'bought-in vs custom / process' cell for brackets, missing entirely from Pass 3"
R0016,2026-09-20,Global (patent),Cross-category (mobile robot/AMR/drone LiDAR mount),LiDAR vibration-damping mounting bracket,bracket/mount/adapter,unknown,Vibration-damping LiDAR mounting bracket (external frame + internal frame + vibration-isolation mounts),"External frame, internal frame carrying the electro-optic assembly, connected via vibration-isolation mount elements",geometry/feature x critical characteristic,Custom,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Vibration-isolation mount between external and internal LiDAR frame,unknown,unknown,unknown,Internal frame attached to external frame specifically via vibration-isolation mounts to decouple the electro-optic scanning assembly from external/internal vibration sources,Vibration isolation performance directly affects LiDAR scan accuracy/image quality; excessive vibration amplitude can damage the scanning mirror,unknown,unknown,unknown,unknown,"unknown (vibration/dynamic test implied by design intent, not itemized)",unknown,unknown,Excessive vibration amplitude reaching the scanning mirror/electro-optic assembly is the stated design failure mode driving the isolation-mount design,unknown,unknown,unknown,"Patents (e.g., US10955530 'Systems for vibration cancellation in a lidar system', CN115542534A) describe LiDAR mounting designs with an external frame and an internal frame carrying the electro-optic/scanning assembly, connected by vibration-isolation mounts, because scanning LiDAR sensors are susceptible to external vibration (road/engine noise) and internal vibration (scanning mechanism) that can damage or misalign the scanning mirror.",https://patents.justia.com/patent/10955530 ; https://patents.google.com/patent/CN115542534A/en,"Patents (multiple, independent assignees)",US10955530 issued 2021-03-23; CN115542534A retrieved 2026-09-20,documentation_verified,fact,none,No material/process/tolerance detail disclosed in the retrievable patent summary,"Patent-sourced evidence for sensor/mount critical-characteristic cell, independent of vendor marketing; also cross-relevant to sensor/camera-mount family"
R0017,2026-09-20,US,Cross-category,Bracket finish/corrosion-protection specification,bracket/mount/adapter,unknown,6061-T6 aluminum mounting bracket/plate,unknown,finish/coating,Custom,6061-T6 aluminum (default choice for general-purpose robotics brackets),CNC machining,Anodize (Type II or Type III),"Type II or Type III anodize, sealed to block chloride-ion corrosion; typical coating thickness 0.0002-0.0005 in; critical features held to +/-0.02 mm after anodize; above ~40 micron oxide thickness natural color trends dark grey, but black anodize stays black because it layers over grey",unknown,None,unknown,+/-0.02 mm on critical features after Type II/III anodize,unknown,unknown,unknown,unknown,unknown,unknown,"Sealing of anodize pores required to actually block chloride-ion corrosion, not just cosmetic",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Multi-process (machine + anodize + seal),unknown,"6061-T6 aluminum is the default choice for general-purpose robotics brackets/chassis; Type II/III anodize is applied and sealed (sealing plugs the coating's natural porosity to block chloride-ion ingress) for corrosion protection, with typical coating thickness 0.0002-0.0005 in and critical features held to +/-0.02 mm after coating.",https://www.epocrafter.com/anodizing-thickness-color-corrosion/ ; https://www.anodizing.org/specifying-anodized-aluminum/,Manufacturing-platform guide + industry association (Anodizers Council),"2026, retrieved 2026-09-20",vendor-claimed (partially corroborated by industry-association source),fact,none,Not tied to a named robot-OEM bracket part,Fills the finish/coating gap Pass 3 marked as a total absence for this family
R0018,2026-09-20,"Global (patent, China-based assignee, applicable to US/AU-sold cobots)",Cobot (collaborative arm),Integrated joint-module driving assembly with upper/lower bearing seats on output shaft,shaft/bearing seat/motor mount,Integrated joint module,"Upper bearing seat and lower bearing seat, sleeved on the output shaft, connected to opposite sides of an annular supporting platform","Two bearing seats (upper/lower) axially opposed on the output shaft, each with an embedded bearing, plus rotor/stator/speed-reduction/braking/encoding assemblies in the same housing",geometry/feature x bearing/shaft fit,"Custom housing/seats; bearings, encoder likely bought-in components",unknown,"unknown (CNC machining implied for bearing-seat bores, not stated in retrievable summary)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Output-shaft-to-bearing-seat interface (upper and lower), each seat housing its own bearing","Output shaft passes through both upper and lower bearing seats, each with its own embedded bearing, sleeved directly on the shaft","Driving assembly integrates output shaft, rotor, stator, speed-reduction assembly, braking assembly and encoding assembly in one housing (integrated joint module architecture)",unknown,Upper and lower bearing seats connect to opposite axial sides of an annular supporting platform inside the housing,unknown,unknown,unknown,unknown,unknown,unknown,"Production (granted US patent, commercialized cobot joint module architecture)",unknown,unknown,unknown,unknown,unknown,"US Patent 12,138,784 B2 (assignee Shenzhen Yuejiang Technology Co., Ltd, 'Collaborative robot arm and joint module') discloses a driving assembly whose output shaft carries a lower bearing seat and an upper bearing seat, each housing a bearing, connected to opposite axial sides of an annular supporting platform within the joint housing.",https://patents.google.com/patent/US12138784,US patent (named OEM/assignee),"Granted patent, retrieved 2026-09-20",documentation_verified,fact,none,"No numeric tolerance, material, or process disclosed in the retrievable summary; full patent claims/spec not fetched",First named-OEM (non-vendor-marketing) primary patent source for shaft/bearing-seat family in this dataset; fills Pass 3's biggest gap flagged for this family
R0019,2026-09-20,Global (patent),Industrial robot arm,Integrated joint module with upper bearing and upper bearing seat sleeved on output shaft,shaft/bearing seat/motor mount,Integrated joint module,Upper bearing seat sleeved on output shaft,"Output shaft with rotor, stator, speed-reduction assembly, braking assembly, encoding assembly, and upper bearing seat/bearing sleeved on the shaft","geometry/feature x critical interface (independent second patent, cross-check)",Custom housing/seat; bearing/encoder bought-in,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Output shaft to upper bearing seat/bearing interface,Upper bearing and upper bearing seat sleeved on the output shaft,"Driving assembly bundles output shaft, rotor, stator, reduction, braking, encoding in one integrated joint module",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Production (granted patent),unknown,unknown,unknown,unknown,unknown,"US Patent 12,179,343 B2 ('Industrial robot arm and integrated joint module') describes an integrated joint module driving assembly with an output shaft, rotor, stator, speed reduction assembly, braking assembly and encoding assembly, plus an upper bearing seat and upper bearing sleeved on the output shaft.",https://patents.google.com/patent/US12179343,US patent (named OEM/assignee),"Granted patent, retrieved 2026-09-20",documentation_verified,fact,"none (companion patent to US12138784, same assignee family, industrial vs collaborative arm variant)",No numeric spec disclosed in retrievable summary,"Second, independent-claim patent from the same assignee family, strengthens (not duplicates) the joint-module bearing-seat evidence"
R0020,2026-09-20,US,Cross-category (any geared motor/actuator),Motor shaft keyway tolerance standard practice,shaft/bearing seat/motor mount,unknown,Motor output shaft with keyway; mating keyed hub/coupling,"Keyway slot on motor shaft, key, and mating keyseat in hub/coupling",tolerance x thread/fastening (keyway fit),unknown,unknown,unknown,unknown,unknown,unknown,None,NEMA MG 1 Section 4.9.2 specifies keyseat widths with positive-only tolerance,Standard motor-keyway fit uses H9 (keyway) and h9 (key) tolerances for a running fit with minimal play; Class 1 clearance fit is modern (post-1990) best practice for electric-motor service,unknown,Motor-shaft-to-hub/coupling keyway interface,"unknown (keyway fit, distinct from bearing bore fit)",unknown,Class 1 standard commercial key unless application requires Class 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Modern standards (post-1990) have converged on Class 1 clearance fits as best practice for electric-motor keyway service; standard fits use H9 (keyway) and h9 (key) tolerances for a running fit with minimal play, and motor keys are not generally interference-fit into the keyway (a historical ANSI B17.1-1967/NEMA MG 1 discrepancy caused confusion on this point for decades).",https://www.eng-tips.com/threads/motor-gen-shaft-keyway-keyseat-tolerance-discrepancy-between-ansi-b17-1-1967-and-nema-mg-1.461453/ ; https://industrialmonitordirect.com/blogs/knowledgebase/motor-shaft-keyway-tolerance-ansi-b171-vs-nema-mg-1-discrepancy,Engineering-forum + standards-explainer technical reference,"unknown, retrieved 2026-09-20","vendor-claimed (secondary explainer of ANSI/NEMA standards, not the standard text itself)",fact,"Historical discrepancy explicitly noted between ANSI B17.1-1967 and NEMA MG 1 on required key class -- kept as a documented conflict, not resolved",Not tied to a specific robot OEM shaft,Fills the thread/fastening x shaft-fit cell for motor shafts specifically (distinct from bearing-bore fits already covered)
R0021,2026-09-20,US,Cross-category,Servo actuator drive shaft precision grinding practice,shaft/bearing seat/motor mount,unknown,Precision-ground servo motor drive shaft,"Cylindrical shaft with radial profile, ground finish",process x tolerance (secondary process),unknown,unknown,Turning (rough),Precision grinding,unknown,unknown,None,unknown,IT5-IT6 tolerance grade on precision-ground servo drive shafts,Consistent radial profile / roundness implied by IT5-IT6 grinding tolerance,Shaft OD to bearing bore / coupling bore fit,"IT5-IT6 precision grinding reduces clearance variation, ensuring predictable fit behavior in both sliding and interference (press-fit) assemblies",unknown,unknown,unknown,Dimensional fidelity of the ground shaft directly controls whether downstream press-fit/sliding-fit assemblies behave predictably,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Multi-process (turn then grind),unknown,"Servo motor drive shafts are precision ground to IT5-IT6 tolerances, ensuring consistent radial profiles with dimensional fidelity that reduces clearance variation and ensures predictable fit behavior in both sliding and interference assemblies.",https://frigate.ai/en-il/product/precision-actuator-shaft/,Component-supplier technical product page,"2026, retrieved 2026-09-20",vendor-claimed,fact,none,Not tied to a named robot OEM shaft; generic servo-shaft claim,"Diversifies shaft-tolerance sourcing (Frigate, distinct vendor) beyond bearing-housing fit numbers already captured for precision-CNC-housing family"
R0022,2026-09-20,Global standard,Cross-category (any motor-to-gearbox flange),IEC/NEMA motor mounting flange pilot-diameter/bolt-circle interface,shaft/bearing seat/motor mount,unknown,Motor mounting flange (B5/B14/C-face) mating to gearbox or joint housing,Pilot/spigot centering diameter (FE) + bolt-circle diameter (M/AJ) + shaft (U dimension),motor/gearbox flange interface x critical tolerance,Bought-in motor; custom mating housing/adapter machined to match,unknown,unknown,unknown,unknown,unknown,None,unknown,"Shaft-to-flange spigot concentricity (runout) is a defined, measurable tolerance per motor-manufacturer standard (e.g., MEZ Motors runout-tolerance spec)","unknown (concentricity/runout specified as a tolerance value, not confirmed as a formal GD&T symbol callout in the retrievable source)",Motor shaft-to-mounting-flange spigot register (centering diameter),unknown,"NEMA C-flange defined by bolt circle (AJ), rabbet/pilot diameter (AK), and shaft size (U); IEC B5/B14 flanges defined by pilot diameter (FE) and bolt circle (M); reputable manufacturers hold flange dimensions to IEC/NEMA standard within acceptable tolerance for interchangeability",Bolt-circle mounting pattern per IEC/NEMA standard series,unknown,Spigot/pilot concentricity error directly causes motor-to-gearbox shaft misalignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"NEMA and IEC each standardize motor mounting-flange geometry (pilot/spigot diameter, bolt-circle diameter, shaft size) so that motors from different manufacturers are interchangeable within tolerance; shaft-to-flange spigot concentricity (runout) is documented as a defined, measurable tolerance by motor manufacturers.",https://www.kollmorgen.com/en-us/developer-network/nema-frame-size ; https://www.kollmorgen.com/en-us/developer-network/iec-frame-size ; https://www.mez-motors.com/downloads/Runout_tollerances.pdf,Named motor-OEM technical documentation (Kollmorgen) + motor-manufacturer runout spec (MEZ Motors),"unknown, retrieved 2026-09-20",documentation_verified,fact,none,Exact numeric runout tolerance value not extracted from the MEZ Motors PDF snippet,"Named-OEM (Kollmorgen) standards documentation for motor/gearbox flange interface, independent of vendor-marketing chain"
R0023,2026-09-20,US/Global,"Cross-category (wheeled robot/AMR, adjacent industrial precedent)",Keyed shaft-hub connection fatigue failure mechanisms under dynamic torque,shaft/bearing seat/motor mount,unknown,Keyed shaft-hub connection (motor/wheel-hub coupling),Keyway on shaft mating to keyed hub bore,failure/rework reason x critical characteristic,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Keyed shaft-hub connection,unknown,unknown,unknown,unknown,Keyed connection fails either by unacceptable plastic deformation of the keyway or by fatigue of the shaft/connection under dynamic torque load,unknown,unknown,unknown,unknown,unknown,In-service (failure analysis),unknown,"Two documented failure modes: (1) plastic deformation of the keyway, (2) fatigue cracking of the shaft/connection, both driven by dynamic/cyclic torque loading; a related vehicle wheel-shaft case study documented shaft fracture originating at the end of a keyway slot, driven by fluctuating bending stress from acceleration torque changes, braking torsion/shear, and shock loading from uneven terrain",unknown,unknown,unknown,"Academic failure-mechanism literature on keyed shaft-hub connections documents two dominant failure modes under dynamic torque load: unacceptable plastic deformation of the keyway, and fatigue failure of the shaft/connection; a related published vehicle wheel-shaft case study found the shaft broke near the end of a keyway slot on the hub, driven by fluctuating bending stress from acceleration-torque changes, braking-induced torsion/shear, and shock loading from uneven terrain.",https://www.sciencedirect.com/science/article/pii/S2452321619302264 ; https://www.sciencedirect.com/science/article/abs/pii/S1350630798000223,Academic/peer-reviewed papers (ScienceDirect),"unknown, retrieved 2026-09-20",documentation_verified,fact,none,"Vehicle (not robot) case study, applied by close mechanical analogy to a wheeled-robot/AMR motor-shaft coupling; explicitly flagged as adjacent-domain evidence, not robot-specific","Fills the failure/rework-reason cell for this family with real, peer-reviewed failure-mode evidence -- one of very few genuine failure case studies in the whole Pass 4 dataset"
R0024,2026-09-20,US,Cross-category (direct-drive/geared electric machine),"Axle/shaft fatigue failure analysis, direct-drive motor context",shaft/bearing seat/motor mount,unknown,Axle/output shaft of a permanent-magnet direct-drive motor,unknown,failure/rework reason (second independent source),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"In-service (failure analysis, production units)",unknown,"Premature fatigue failure of a direct-drive motor axle documented, with complete fracture occurring in one axle at approximately 3 million load cycles",Implies field replacement of failed axle after fatigue fracture,unknown,unknown,A peer-reviewed premature fatigue failure analysis of an axle in a permanent-magnet direct-drive electric locomotive documented complete fracture of one axle at approximately 3 million load cycles.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12387781/,Academic/peer-reviewed paper (PMC),"unknown, retrieved 2026-09-20",documentation_verified,fact,none,"Locomotive axle, not a robot; applied by adjacent-domain analogy to large direct-drive robot joint/wheel motors, explicitly flagged as not robot-specific","Second independent peer-reviewed failure/fatigue data point with a concrete cycle-count number, distinct source from the ScienceDirect keyed-connection paper"
