query_id,sub_id,manufacturing_sub,query,market,query_dimension,intent_class,SERP_result_type_summary,giant_platform_presence,specialist_manufacturer_presence,observed_competitor_domains,evidence_urls,notes
Q011,OBJ05,robot bearing housing/seat,robot bearing housing manufacturer,US,supplier,commercial,Mix of bearing-COMPONENT manufacturers (the bearing itself) and 1 dedicated bearing-housing CNC machining page (zintilon),none observed,moderate - zintilon dedicated page; rest are bearing-component brands not housing machinists,kaydonbearings.com; zintilon.com; aubearing.com; gmnbt.com; cctygroup.com; rmobearing.com,https://www.zintilon.com/industry/robotics/bearing-housings/ ; https://www.kaydonbearings.com/markets_Robotics.htm,"Same manufacturer-query pattern: ""bearing housing manufacturer"" partly collapses into bearing-component sellers, not housing-machining shops. zintilon is the clear exception with a purpose-built page."
Q012,OBJ05,robot bearing housing/seat,custom robot bearing seat machining,US,process,technical-commercial,"Multiple dedicated bearing-seat/housing CNC pages with real technical substance (coaxiality specs, CBN finishing)",none observed,"strong - zintilon, svet-robotu.cz, ptsmake, vmtcnc, yicenprecision",zintilon.com; ptsmake.com; vmtcnc.com; yicenprecision.com,https://www.zintilon.com/industry/robotics/bearing-housings/ ; https://vmtcnc.com/product-item/industrial-bearing-seat-machining/,Strong technical-commercial fit; overlaps partially with joint/actuator housing (bearing seats are often machined INTO those housings) - flag for cannibalization review.
Q013,OBJ06,robot motor mount,robot motor mount CNC machining custom,US,process,technical-commercial,"Dedicated CNC-shop pages (Machining Concepts, JADE-CNC, CNCTAL) framed around robotics motor mounts among other parts",none observed,"moderate - motor mount usually appears bundled with other robot parts, not standalone-dedicated",yijinsolution.com; machiningconcepts.com; jadecnc.com; cnctal.com,https://machiningconcepts.com/custom-robot-parts/ ; https://www.jadecnc.com/robotics/,"Motor mount rarely gets its OWN dedicated page among competitors; almost always bundled inside a general ""custom robot parts"" page alongside brackets/shafts/housings. Weak case for a fully standalone object page."
Q014,OBJ06,robot motor mount,robot motor mount manufacturer,US,supplier,navigational/commercial(wrong-segment),"Dominated by hobby/competition-robotics RETAIL (VEX, REV/goBILDA, RobotShop, SuperDroid, FingerTech)",none observed (but retail e-commerce dominance functions like a giant-platform problem for this query),none in the RFQ/industrial sense - all results are maker/FRC-competition component retailers,vexrobotics.com; robotshop.com; gobilda.com; superdroidrobots.com; fingertechrobotics.com,https://www.vexrobotics.com/276-1594.html ; https://www.robotshop.com/collections/mounts,"CRITICAL NEGATIVE FINDING: bare ""motor mount manufacturer"" (no CNC/custom qualifier) is captured almost entirely by hobbyist/education/competition robotics retail, not industrial RFQ buyers. A page targeting this exact phrase would attract the wrong audience. Must always pair with ""custom machining""/""CNC"" framing."
Q015,OBJ07,robot bracket/mounting adapter,robot bracket mounting adapter manufacturer,US,supplier,mixed,"Mix of EOAT/cobot-adapter specialists (robot-adapters.com, EMI Corp), hobby retail (RobotShop), and industrial distributors (McMaster-Carr)",none observed,moderate - robot-adapters.com and EMI Corp are purpose-built specialists,robot-adapters.com; emicorp.com; pushcorp.com; mcmaster.com; robotshop.com,https://robot-adapters.com/ ; https://www.emicorp.com/eoat-components/framing/cobot-mounting-adapters,Real specialist niche exists (cobot/EOAT mounting adapters) but bare query is noisy/mixed with hobby retail and generic distributors.
Q016,OBJ07,robot bracket/mounting adapter,custom robot mounting bracket CNC machining,US,process,technical-commercial,"Dedicated CNC-bracket machining pages, several explicitly mention robotics/aerospace bracket use case",none observed,"strong - lsrpf.com, rallyprecision.com, fsfab.com, approvedmachining.com, vmtcnc.com, falconcncswiss.com",lsrpf.com; rallyprecision.com; fsfab.com; vmtcnc.com,https://www.lsrpf.com/product/cnc-machined-mounting-bracket-for-aerospace-robotics-ls ; https://vmtcnc.com/cnc-brackets/,"Confirms bracket is a legitimate, fragmented, specialist-dominated object once framed as ""custom CNC machining"" rather than bare ""bracket."""
Q017,OBJ07,robot bracket/mounting adapter,robot bracket,US,object,navigational/informational(wrong-segment),Entirely FIRST Robotics Competition (FRC) build-system documentation and hobby retail,none observed (hobby-retail saturation acts as a giant-platform-like blocker),none for RFQ intent,docs.revrobotics.com; robotshop.com; revrobotics.com; bracketbot.com,https://docs.revrobotics.com/ion-build/structure/brackets ; https://www.robotshop.com/collections/servo-brakets,"Negative-control search confirming Q014's pattern: the single bare word ""bracket"" attached to ""robot"" is FRC/education/hobby territory, not industrial RFQ. Do not target this bare phrase."
Q018,OBJ08,custom robot gripper fingers/jaws,custom robot gripper fingers jaws manufacturer,US,supplier,commercial,Dedicated specialist manufacturers and even a build-your-own-online configurator (GripShape),none observed,"strong - GripShape/Fairlane Products, Kurt Workholding, Stryver, Rohtek, eoat.net",gripshape.com; kurtworkholding.com; stryver.com; rohtekautomation.com; eoat.net,https://www.gripshape.com/ ; https://www.gripshape.com/resources/cnc-robot-gripper-fingers---streamlining-manufacturing,Excellent commercial fit: GripShape literally sells an online CAD-to-part configurator for custom gripper fingers - direct proof of live commercial demand for exactly this RFQ object.
Q019,OBJ08,custom robot gripper fingers/jaws,custom gripper jaw CNC machining,US,process,technical-commercial,"Dedicated CNC-shop pages, several run as city-specific programmatic pages (RivCut x3 cities)",none observed,"strong - zintilon, RivCut (multi-city), 5thaxis.com, burtontoolinc.com",zintilon.com; rivcut.com; 5thaxis.com,https://www.zintilon.com/industry/robotics/custom-grippers/ ; https://www.rivcut.com/cnc-machining/robotics/gripper-components/,"RivCut's city-by-city page pattern (Milwaukee, Birmingham, Atlanta all found for this one object) is itself a permutation-SEO tactic - useful as a cautionary example, not a recommended pattern for us to copy without local-search evidence."
Q020,OBJ09,EOAT machined parts / tooling plate,EOAT tooling plate custom machining manufacturer,US,object/service,commercial,"Dedicated EOAT-parts specialist manufacturers, no informational noise",none observed,"strong - EOAT Machining, EMI Corp, CRG, Stryver, ASS EOAT",eoatmachining.com; emicorp.com; crgeoat.com; eoat.net,https://eoatmachining.com/products ; https://www.emicorp.com/eoat-components,"Mature, fragmented, specialist-only B2B niche - one of the cleanest commercial-intent results in this whole pass."
Q021,OBJ09,EOAT machined parts / tooling plate,end of arm tooling custom parts manufacturer,US,supplier,commercial,"Directory listing (ensun.io Top-100, Thomasnet) plus multiple dedicated EOAT manufacturers","directory/aggregator presence (ensun.io, Thomasnet) but not a marketplace","strong - Piab, Millibar, DevLinks, ICON Robotics, Stryver",ensun.io; thomasnet.com; millibar.com; piab.com; devlinksltd.com,https://ensun.io/search/end-of-arm-tooling ; https://millibar.com/custom-end-of-arm-tools/,"Confirms EOAT/tooling-plate as a strong, distinct, well-evidenced object with real technical depth (vacuum manifolds, tool-changer plates, quick-change interfaces)."
Q022,OBJ10,robot base/pedestal,robot base pedestal custom manufacturer,US,supplier,commercial,"Dedicated pedestal/base fabricators, includes 1 modular-hardware platform (Vention) that is itself a scaled competitor",Vention functions as a scaled platform-like competitor in this niche (modular hardware + configurator),"strong - Parco, PGI Steel, Anchor Danly, DRAmetal, usa-robotics",vention.io; parco-inc.com; pgisteel.com; anchordanly.com; drametal.com,https://vention.io/robot-pedestal ; https://parco-inc.com/custom-aluminum-robot-bases-pedestals/,Real fragmented niche with a legitimate scaled competitor (Vention) rather than a marketplace giant - different competitive shape than Alibaba/Amazon dominance.
Q023,OBJ10,robot base/pedestal,custom robot base CNC machining welding,US,process,technical-commercial,"Dedicated robotics-CNC/welding shop pages, several combine CNC + welding + assembly explicitly",none observed,"strong - HLW CNC, Machining Concepts, Modern Group, JACO Works, Elimold",helanwangsf.com; machiningconcepts.com; moderngroupusa.com; jacoworks.com,https://helanwangsf.com/cnc-machining-custom-robot-parts/ ; https://moderngroupusa.com/robotic-applications/,"Confirms base/pedestal needs BOTH CNC and welding/fabrication content coverage - technically distinct from pure-machining objects (joint housing, shaft) since it usually involves sheet-metal/weldment process too."
Q024,OBJ11,robot structural parts/links,robot structural link parts CNC machining manufacturer,US,supplier,commercial,"Generalist robotics-CNC job shops list structural links as ONE line item among joints/brackets/bases, not a standalone specialty",none observed,"present but generic - RivCut, CNC-Explore, CNCTAL, JACO, YUANYI, ZSCNC, Xinqida, Rapidaccu all bundle this",rivcut.com; cnc-explore.com; cnctal.com; yycncmachining.com; zscncparts.com,https://www.rivcut.com/robotics ; https://zscncparts.com/industries/robotics/,"Weak case for a fully standalone object page distinct from generic ""custom robot parts machining"" - almost every generalist CNC shop bundles structural links into one broad robotics-parts page rather than a dedicated link/structural page."
Q025,OBJ11,robot structural parts/links,custom robot arm link machining,US,process,technical-commercial,"RivCut runs the SAME templated page across many US cities (Chicago, Sacramento, Des Moines found); Fictiv has a genuine technical guide",none observed,"moderate - RivCut (programmatic), Fictiv (technical guide)",rivcut.com; fictiv.com,https://www.fictiv.com/articles/robotic-arm-components-manufacturing ; https://www.rivcut.com/cnc-machining/chicago/robotics/robot-arm-links/,RivCut's link-specific city-programmatic pages are the clearest example in this whole research pass of a competitor already running the exact permutation-SEO pattern the issue tells us to avoid (object x city). We should NOT copy the city-permutation approach even though the object itself (arm link) is real.
Q026,OBJ12,robot enclosure/shell,custom robot enclosure shell manufacturer,US,supplier,commercial,"Mix of plastic thermoforming/rotomolding shell makers, 1 CNC metal-enclosure shop, and ONE Alibaba product-detail page ranking directly",YES - one Alibaba product-detail page ranks directly in organic results,"moderate - hpm8.com (CNC metal), epromfg.com, lvrotomolding.com, luckyvacuumforming.com",alibaba.com; hpm8.com; epromfg.com; lvrotomolding.com; productiveplastics.com,https://www.alibaba.com/product-detail/Custom-large-robot-shell-manufacturer-Vacuum_1600423482002.html ; https://www.hpm8.com/product-custom-shells-enclosures-precision-cnc.html,"First query in this pass where a giant marketplace (Alibaba) ranks directly in organic results for a bare object+manufacturer query - the enclosure/shell object is more marketplace-exposed than machined-metal objects like housings/shafts, likely because thermoformed/rotomolded plastic shells are more commodity/catalog-like."
Q027,OBJ12,robot enclosure/shell,sheet metal robot enclosure fabrication custom,US,process,technical-commercial,"Dedicated sheet-metal fabrication shop pages with real technical substance (IP rating, PEM fasteners, weld specs)",none observed,"strong - Uptive, Universal Fabrications, Approved Sheet Metal, DRAmetal, ShincoFab, jlccnc",uptivemfg.com; approvedsheetmetal.com; drametal.com; shincofab.com,https://www.approvedsheetmetal.com/industries-we-serve/sheet-metal-for-robotics ; https://uptivemfg.com/blog/custom-sheet-metal-enclosures-for-industrial-automation/,Sheet-metal-process framing is cleaner/more specialist-dominated than the bare object+manufacturer framing (Q026) - avoid the bare framing where Alibaba already ranks.
Q028,OBJ13,battery/electronics enclosure,custom battery enclosure manufacturer robotics AMR,US,object/application,commercial(different-vertical),"Entirely full BATTERY PACK manufacturers (cell selection + BMS + enclosure), not mechanical-housing-only shops",none observed,"strong but wrong-vertical for our RFQ model - Bonnen, Apex Mobile Power, HYXin, KRL, LARGE, PKNERGY",bonnenbatteries.com; apexmobilepower.com; hyxinbattery.com; krlpower.com; large.net,https://www.apexmobilepower.com/market-segments/lithium-ion-battery-packs-for-robotics ; https://www.krlpower.com/robot-battery-solution/,"IMPORTANT SPLIT: ""battery enclosure"" search intent is dominated by full battery-PACK OEMs (cell + BMS + certification), a different supplier vertical than mechanical-housing-only CNC/sheet-metal shops. A page must be titled/scoped as the MECHANICAL ENCLOSURE (machining/sheet-metal housing for a battery pack the customer already designed electrically), not conflate with full battery-pack manufacturing, or it will misrepresent our RFQ routing capability."
Q029,OBJ13,battery/electronics enclosure,custom electronics enclosure CNC machining manufacturer,US,process,technical-commercial,"Dedicated electronics-enclosure CNC/sheet-metal manufacturers, no battery-pack companies in this result set",none observed,"strong - Protocase, JLCCNC, Polycase, CNCTAL, Falcon CNC Swiss",protocase.com; jlccnc.com; polycase.com; cnctal.com,https://www.protocase.com/products/electronic-enclosures/machined-enclosures/ ; https://www.cnctal.com/custom-enclosures/,"This is the correctly-scoped query for our mechanical-housing RFQ model - confirms electronics/battery enclosure page should be framed as ""electronics/battery enclosure machining"" (mechanical housing), explicitly distinct from the battery-pack-manufacturing intent in Q028."
Q030,OBJ14,robot chassis,robot chassis manufacturer custom fabrication,US,supplier,mixed,"Mix of (a) parts/fabrication shops, (b) full AMR/robot OEM/ODM sellers (Fdata, REEMAN) who sell a finished robot platform",none observed,moderate but mixed buyer-type - Fictiv/LS/HSJ (fabrication) vs Fdata/REEMAN/SuperDroid (finished robot OEM),fictiv.com; lsrpf.com; hsjfabrication.com; fdatabot.com; reemanrobotics.com,https://www.fdatabot.com/a-complete-guide-to-oem-odm-robot-chassis-customization/ ; https://www.lsrpf.com/blog/top-6-manufacturers-for-robotics-sheet-metal-fabrication-custom-lightweight-chassis-experts,"""Chassis manufacturer"" intent splits between our target buyer (needs THEIR chassis design fabricated) and a buyer wanting a white-label finished AMR platform (Fdata/REEMAN sell complete robots, not just fabrication-to-your-drawing). Page copy must disambiguate up front."
Q031,OBJ14,robot chassis,custom AMR chassis welded frame manufacturer,US,supplier,mixed(cross-industry noise),"Half robotics-specific (Oneway Robot, Wisdometal), half AUTOMOTIVE aftermarket chassis builders (hot-rod/race-car)",none observed,"present but automotive noise is significant - Oneway Robot, Wisdometal are the only true robotics hits",onewayrobot.com; sheetmetalchina.com; artmorrison.com; autoweldchassis.com; mclbody.com,https://www.onewayrobot.com/product/amr-chassis/ ; https://www.sheetmetalchina.com/robot-welding-chassis/,"Cross-industry contamination risk: generic ""chassis"" + ""welded frame"" pulls in automotive/race-car chassis builders. Must keep ""AMR""/""robot"" explicit in on-page copy and title to avoid ranking-relevance dilution."
Q032,OBJ15,humanoid leg/knee parts,humanoid robot leg knee parts machining manufacturer,US,application/object,technical-commercial,Strong specialist cluster of dedicated humanoid-robot-components CNC pages; a directory (Globalsources) also present,"Globalsources.com functions as a large B2B directory, not a marketplace per se","strong - Runsom, Sinbo Precision, Falcon CNC Swiss, Norck Robotics, AFT Fluorotec, WayKen (via video)",runsom.com; sinbo-machining.com; falconcncswiss.com; norckrobotics.com; fluorotec.com,https://www.sinbo-machining.com/products/industries/humanoid-robot-components/ ; https://www.falconcncswiss.com/cnc-machined-humanoid-robot-parts/,"Humanoid is validated as a strong application-level parent with real technical depth (PEEK/PTFE bearings, Ti-6Al-4V, 7075-T651). Leg/knee specifically is usually covered WITHIN a general humanoid-components page, not as its own separate URL among competitors - supports leg/knee as a section of joint/actuator housing pages plus the humanoid parent, not a standalone object page."
Q033,OBJ16,sensor/camera mount,custom sensor camera mount CNC machining manufacturer,US,process,technical-commercial,"Dedicated sensor/camera/optics machining specialist pages, including a defense-optics-specific page",none observed,"strong - zintilon, VMT (machining-custom.com), CNCTAL, Creatingway, RivCut, DEK",zintilon.com; machining-custom.com; cnctal.com; rivcut.com; dekmake.com,https://www.zintilon.com/industry/robotics/sensor-housing/ ; https://www.rivcut.com/defense-optics-sensors,"Strong, fragmented, specialist niche with genuine technical depth (true-position tolerance on hole patterns, optical alignment)."
Q034,OBJ17,LiDAR mount,custom LiDAR mount bracket manufacturer machining,US,process,mixed(thin),"Mostly generic bracket-machining content plus hobbyist/consumer LiDAR accessory retail (LightWare, SuperDroid, motorcycle mount)",none observed,weak - no dedicated LiDAR-mount-specific manufacturer page found; content is either generic bracket guides or consumer accessories,lightwarelidar.com; superdroidrobots.com; machining-custom.com; fsfab.com; cjsmachineandfab.com,https://lightwarelidar.com/shop/lw20-mounting-bracket/ ; https://www.machining-custom.com/blog/custom-cnc-machining-brackets-mounts.html,LiDAR mount does NOT show distinct dedicated commercial content separate from generic sensor/camera bracket machining. Weak standalone-page case - recommend folding into the sensor/camera mount page rather than a separate URL (see cannibalization-map).
Q035,OBJ18,ROV/pressure housing,ROV pressure housing manufacturer custom machining,US,supplier,technical-commercial,"Dedicated subsea/titanium machining specialists, no marketplace presence",none observed,"strong - OceanTools, Hydro-Blade Manufacturing, Baoji Mingkun (BJMK titanium), Mechanical Research & Design",oceantools.co.uk; hydroblademfg.com; mk-titanium.com; mechanicalresearch.com,https://www.oceantools.co.uk/subsea-pressure-housings ; https://www.mk-titanium.com/machining-titanium/machining-titanium-for-subsea/titanium-pressure-housings.html,"Strong, technically distinct object (titanium, pressure-vessel tolerance, sealing) with real specialist manufacturers and no giant-platform competition. Clean object-page candidate."
Q036,OBJ19,jig/fixture,custom jig fixture manufacturer machining automation,US,supplier,"technical-commercial(broad-industrial, not robot-specific)","Dedicated jig/fixture tooling manufacturers serving general manufacturing/aerospace/medical, not robotics-specific",none observed,"strong but not robotics-specific - Mahuta Tool, KTM Solutions, MD Design & Automation, ITD",mahutatool.com; ktmsolutions.com; mddesignwi.com; itdinc.us,https://www.mahutatool.com/Tooling/JigFixtureMachining ; https://www.ktmsolutions.com/manufacturing-fixturing-tooling,"Jig/fixture is a real, fragmented, specialist B2B market, but the SERP is dominated by general machine-shop tooling suppliers (any industry), not robot-cell-specific ones. To avoid competing head-on in the much larger generic tool-and-die market, page should be scoped narrowly as ""fixtures/jigs FOR robot cells and EOAT integration,"" not generic ""jig and fixture manufacturing."""
Q037,PRB01,robot prototype machining / low-volume,robot prototype low volume manufacturing parts,US,lifecycle,technical-commercial,"Dedicated ""robotics industry"" landing pages from many rapid-prototyping/CNC contract manufacturers","none observed as organic marketplace, but several results ARE scaled multi-industry contract manufacturers (3ERP, DEK, Premium Parts) functioning like mid-size platforms","strong - 3ERP, DakingsRapid, Protoforgetech, Worthy Hardware, DEK, Premium Parts, FirstPart",3erp.com; dakingsrapid.com; protoforgetech.com; dekmake.com; premiumparts.com; firstpart.com,https://www.3erp.com/industries/robotics-and-automations/ ; https://firstpart.com/robotics-manufacturing/,"Very well-established page TYPE already run by dozens of competitors as a dedicated '/robotics/' industry landing page. Confirms strong problem/process-level intent, but also high competitive density - differentiation must come from RFQ-routing/accountability value prop, not generic capability claims."
Q038,APP02,cobot custom parts,cobot custom parts manufacturer CNC machining,US,application,weak/ambiguous,"Contaminated by the OPPOSITE intent: cobots used to TEND/feed CNC machines, not parts made FOR cobots",none observed,"weak - only RivCut and a generic cobot-manufacturer page (cobotmfg.com, which itself makes cobots, not parts for them) are marginally relevant",rivcut.com; cobotmfg.com; universal-robots.com,https://www.rivcut.com/robotics ; https://cobotmfg.com/,"Cobot as a standalone application-level query does not show distinct dedicated ""custom parts for cobots"" commercial content - it is dominated by cobot-as-a-machine-tending-tool content. Weak evidence for a standalone cobot application page; recommend folding into the broader industrial/collaborative robot custom-parts page instead."
Q039,APP03,AMR custom parts,AMR custom parts manufacturing CNC,US,application,"navigational(generic marketplace, no AMR-specific signal)",Zero AMR-specific results; entirely generic on-demand CNC marketplaces/quoting platforms,"YES - eBay, Xometry, PCBWay, eMachineShop all present as generic parts-quoting platforms",none - no AMR-specific manufacturer surfaced at all,ebay.com; xometry.com; emachineshop.com; pcbway.com; americanmicroinc.com,https://www.xometry.com/capabilities/cnc-machining-service/ ; https://www.pcbway.com/rapid-prototyping/cnc-machining/,"CRITICAL NEGATIVE FINDING: ""AMR custom parts manufacturing"" as a phrase has NO distinct SERP identity - it fully collapses into generic CNC-quoting platforms with zero AMR-specific content. UNKNOWN/weak evidence this exact phrase is a real distinct search intent; AMR-specific intent (if it exists) is more likely expressed as 'AMR chassis manufacturer' (see Q030/Q031) than as 'AMR custom parts.'"
Q040,APP04,industrial robot custom parts,industrial robot custom parts machining manufacturer,US,application,commercial,"Dominated by large multi-industry on-demand manufacturing PLATFORMS with dedicated /robotics/ vertical pages, plus a few China contract manufacturers","YES - Xometry, Fictiv, Protolabs Network/Hubs function as scaled aggregator platforms (not Alibaba/Amazon-style marketplaces, but the same competitive role: big, well-SEO'd, broad-catalog aggregators)","present but overshadowed by the platforms - VMT, H&S Manufacturing, Neway, Machining Concepts",xometry.com; fictiv.com; hubs.com; vmtcnc.com; hsmfg.com; newaymachining.com,https://www.xometry.com/robotics/ ; https://www.fictiv.com/robotics ; https://www.hubs.com/industries/robotics-automation/,"This is the broadest, most contested query in the whole research pass - it is the umbrella 'custom robot parts manufacturing' category, already owned at the top by well-funded aggregator platforms (Xometry, Fictiv, Hubs/Protolabs Network). Directly matches the issue's warning: broad category pages should be approached cautiously / deprioritized versus object-first pages where fragmentation is higher."
Q041,APP05,inspection robot parts,inspection robot custom parts manufacturer,US,application,weak/mixed,Mix of companies that BUILD inspection robots (SuperDroid) and generic robotics-CNC platforms; no dedicated 'parts for inspection robots' content,Xometry present as generic platform,weak for this specific application framing,superdroidrobots.com; directindustry.com; fictiv.com; xometry.com; dzmaking.com,https://www.superdroidrobots.com/ ; https://dzmaking.com/custom-robotics-component/,No distinct dedicated content for 'parts for inspection robots' as its own buyer intent - mostly resolves to (a) companies selling whole inspection robots or (b) generic robotics-CNC pages. Weak standalone-page case.
Q042,APP07,exoskeleton parts,exoskeleton parts manufacturer custom machining,US,application,technical-commercial,"Multiple dedicated case-study/blog pages from one specialist (WayKen, 3 separate URLs) plus a supplier directory (Made-in-China)",Made-in-China functions as a supplier directory/marketplace here,"strong but concentrated in one vendor (WayKen) rather than broadly fragmented - also Bang Design, PartsBadger",waykenrm.com; bangid.com; made-in-china.com; accio.com,https://waykenrm.com/case-studies/custom-manufacturing-and-solutions-with-exoskeleton-robot-components/ ; https://bangid.com/knowledge-base/custom-machined-exoskeleton-robot-engineering-precision-for-human-augmentation/,"Real, technically distinct niche (medical/rehab-leaning) but SERP concentration in one competitor (WayKen holds 3 of 9 results) suggests less fragmentation than other objects - still viable but flagged as more concentrated competitively."
